arrondissements,cantons,communes,departements,regions,quartiers,QP
,,Chaillevois,,,,
,,Chailley,,,,
,,Chaillon,,,,
,,Chailloué,,,,
,,Chailly-en-Bière,,,,
,,Chailly-en-Brie,,,,
,,Chailly-en-Gâtinais,,,,
,,Chailly-lès-Ennery,,,,
,,Chailly-sur-Armançon,,,,
,,Chaillé-les-Marais,,,,
,,Chainaz-les-Frasses,,,,
,,Chaingy,,,,
,,Chaintreaux,,,,
,,Chaintrix-Bierges,,,,
,,Chaintré,,,,
,,Chaise,,,,
,,Chaise-Baudouin,,,,
,,Chaise-Dieu,,,,
,,Chaise-Dieu-du-Theil,,,,
,,Chaize-Giraud,,,,
,,Chaize-le-Vicomte,,,,
,,Chalabre,,,,
,,Chalagnac,,,,
,,Chalain-d'Uzore,,,,
,,Chalain-le-Comtal,,,,
,,Chalaines,,,,
,,Chalais,,,,
,,Chalamont,,,,
,,Chalampé,,,,
,,Chalancey,,,,
,,Chalancon,,,,
,,Chalandray,,,,
,,Chalandry,,,,
,,Chalandry-Elaire,,,,
,,Chalange,,,,
,,Chalard,,,,
,,Chalautre-la-Grande,,,,
,,Chalautre-la-Petite,,,,
,,Chalaux,,,,
,,Chaleins,,,,
,,Chalencon,,,,
,,Chalesmes,,,,
,,Chalette-sur-Voire,,,,
,,Chaley,,,,
,,Chalezeule,,,,
,,Chaliers,,,,
,,Chalifert,,,,
,,Chaligny,,,,
,,Chalindrey,,,,
,,Chalivoy-Milon,,,,
,,Challain-la-Potherie,,,,
,,Challans,,,,
,,Challement,,,,
,,Challerange,,,,
,,Challes,,,,
,,Challes-la-Montagne,,,,
,,Challes-les-Eaux,,,,
,,Challet,,,,
,,Challex,,,,
,,Challignac,,,,
,,Challonges,,,,
,,Challuy,,,,
,,Chalmaison,,,,
,,Chalmazel-Jeansagnière,,,,
,,Chalmoux,,,,
,,Chalo-Saint-Mars,,,,
,,Chalon,,,,
,,Chalon-sur-Saône,,,,
,,Chalonnes-sur-Loire,,,,
,,Chalou-Moulineux,,,,
,,Chaltrait,,,,
,,Chalus,,,,
,,Chalvignac,,,,
,,Chalvraines,,,,
,,Chalèze,,,,
,,Chamadelle,,,,
,,Chamagne,,,,
,,Chamagnieu,,,,
,,Chamalières,,,,
,,Chamalières-sur-Loire,,,,
,,Chamaloc,,,,
,,Chamant,,,,
,,Chamarande,,,,
,,Chamarandes-Choignes,,,,
,,Chamaret,,,,
,,Chamba,,,,
,,Chambain,,,,
,,Chambaron sur Morge,,,,
,,Chambeire,,,,
,,Chambellay,,,,
,,Chamberaud,,,,
,,Chamberet,,,,
,,Chambezon,,,,
,,Chambilly,,,,
,,Chamblac,,,,
,,Chamblanc,,,,
,,Chamblay,,,,
,,Chambles,,,,
,,Chamblet,,,,
,,Chambley-Bussières,,,,
,,Chambly,,,,
,,Chambois,,,,
,,Chambolle-Musigny,,,,
,,Chambon,,,,
,,Chambon-Feugerolles,,,,
,,Chambon-Sainte-Croix,,,,
,,Chambon-la-Forêt,,,,
,,Chambon-le-Château,,,,
,,Chambon-sur-Dolore,,,,
,,Chambon-sur-Lac,,,,
,,Chambon-sur-Lignon,,,,
,,Chambon-sur-Voueize,,,,
,,Chambonas,,,,
,,Chambonchard,,,,
,,Chambonie,,,,
,,Chamborand,,,,
,,Chambord,,,,
,,Chamboret,,,,
,,Chamborigaud,,,,
,,Chambornay-lès-Bellevaux,,,,
,,Chambornay-lès-Pin,,,,
,,Chambors,,,,
,,Chambost-Allières,,,,
,,Chambost-Longessaigne,,,,
,,Chamboulive,,,,
,,Chambourcy,,,,
,,Chambourg-sur-Indre,,,,
,,Chambray,,,,
,,Chambray-lès-Tours,,,,
,,Chambre,,,,
,,Chambrecy,,,,
,,Chambretaud,,,,
,,Chambrey,,,,
,,Chambroncourt,,,,
,,Chambry,,,,
,,Chambéon,,,,
,,Chambérat,,,,
,,Chambéria,,,,
,,Chambéry,,,,
,,Chambœuf,,,,
,,Chamelet,,,,
,,Chamery,,,,
,,Chamesey,,,,
,,Chamesol,,,,
,,Chamesson,,,,
,,Chameyrat,,,,
,,Chamigny,,,,
,,Chamilly,,,,
,,Chamole,,,,
,,Chamonix-Mont-Blanc,,,,
,,Chamouillac,,,,
,,Chamouille,,,,
,,Chamouilley,,,,
,,Chamousset,,,,
,,Chamoux,,,,
,,Chamoux-sur-Gelon,,,,
,,Chamoy,,,,
,,Champ-Dolent,,,,
,,Champ-Haut,,,,
,,Champ-Laurent,,,,
,,Champ-Saint-Père,,,,
,,Champ-d'Oiseau,,,,
,,Champ-de-la-Pierre,,,,
,,Champ-le-Duc,,,,
,,Champ-près-Froges,,,,
,,Champ-sur-Barse,,,,
,,Champ-sur-Drac,,,,
,,Champagnac,,,,
,,Champagnac-de-Belair,,,,
,,Champagnac-la-Noaille,,,,
,,Champagnac-la-Prune,,,,
,,Champagnac-la-Rivière,,,,
,,Champagnac-le-Vieux,,,,
,,Champagnat,,,,
,,Champagnat-le-Jeune,,,,
,,Champagne,,,,
,,Champagne-Mouton,,,,
,,Champagne-Vigny,,,,
,,Champagne-au-Mont-d'Or,,,,
,,Champagne-en-Valromey,,,,
,,Champagne-et-Fontaine,,,,
,,Champagne-sur-Loue,,,,
,,Champagne-sur-Oise,,,,
,,Champagne-sur-Seine,,,,
,,Champagne-sur-Vingeanne,,,,
,,Champagneux,,,,
,,Champagney,,,,
,,Champagnier,,,,
,,Champagnole,,,,
,,Champagnolles,,,,
,,Champagny,,,,
,,Champagny-en-Vanoise,,,,
,,Champagny-sous-Uxelles,,,,
,,Champagné,,,,
,,Champagné-Saint-Hilaire,,,,
,,Champagné-le-Sec,,,,
,,Champagné-les-Marais,,,,
,,Champallement,,,,
,,Champanges,,,,
,,Champaubert,,,,
,,Champcella,,,,
,,Champcenest,,,,
,,Champcerie,,,,
,,Champcevinel,,,,
,,Champcevrais,,,,
,,Champclause,,,,
,,Champcueil,,,,
,,Champdeniers-Saint-Denis,,,,
,,Champdeuil,,,,
,,Champdieu,,,,
,,Champdivers,,,,
,,Champdolent,,,,
,,Champdor-Corcelles,,,,
,,Champdray,,,,
,,Champdôtre,,,,
,,Champeau-en-Morvan,,,,
,,Champeaux,,,,
,,Champeaux-sur-Sarthe,,,,
,,Champeix,,,,
,,Champenard,,,,
,,Champenoise,,,,
,,Champenoux,,,,
,,Champey,,,,
,,Champey-sur-Moselle,,,,
,,Champfleur,,,,
,,Champfleury,,,,
,,Champforgeuil,,,,
,,Champfromier,,,,
,,Champfrémont,,,,
,,Champgenéteux,,,,
,,Champguyon,,,,
,,Champhol,,,,
,,Champien,,,,
,,Champier,,,,
,,Champignelles,,,,
,,Champigneul-Champagne,,,,
,,Champigneul-sur-Vence,,,,
,,Champigneulle,,,,
,,Champigneulles,,,,
,,Champigneulles-en-Bassigny,,,,
,,Champignol-lez-Mondeville,,,,
,,Champignolles,,,,
,,Champigny,,,,
,,Champigny en Rochereau,,,,
,,Champigny-en-Beauce,,,,
,,Champigny-la-Futelaye,,,,
,,Champigny-lès-Langres,,,,
,,Champigny-sous-Varennes,,,,
,,Champigny-sur-Aube,,,,
,,Champigny-sur-Marne,,,,
,,Champigny-sur-Veude,,,,
,,Champillet,,,,
,,Champillon,,,,
,,Champis,,,,
,,Champlan,,,,
,,Champlat-et-Boujacourt,,,,
,,Champlay,,,,
,,Champlecy,,,,
,,Champlemy,,,,
,,Champlin,,,,
,,Champlitte,,,,
,,Champlive,,,,
,,Champlost,,,,
,,Champmillon,,,,
,,Champmotteux,,,,
,,Champneuville,,,,
,,Champniers,,,,
,,Champniers-et-Reilhac,,,,
,,Champnétery,,,,
,,Champoly,,,,
,,Champoléon,,,,
,,Champosoult,,,,
,,Champougny,,,,
,,Champoulet,,,,
,,Champoux,,,,
,,Champrenault,,,,
,,Champrepus,,,,
,,Champrond,,,,
,,Champrond-en-Gâtine,,,,
,,Champrond-en-Perchet,,,,
,,Champrougier,,,,
,,Champs,,,,
,,Champs-Géraux,,,,
,,Champs-Romain,,,,
,,Champs-sur-Marne,,,,
,,Champs-sur-Tarentaine-Marchal,,,,
,,Champs-sur-Yonne,,,,
,,Champsac,,,,
,,Champsanglard,,,,
,,Champsecret,,,,
,,Champseru,,,,
,,Champsevraine,,,,
,,Champtercier,,,,
,,Champtocé-sur-Loire,,,,
,,Champtonnay,,,,
,,Champvans,,,,
,,Champvans-les-Moulins,,,,
,,Champvert,,,,
,,Champvoisy,,,,
,,Champvoux,,,,
,,Champéon,,,,
,,Champétières,,,,
,,Chamrousse,,,,
,,Chamvres,,,,
,,Chaméane,,,,
,,Chanac,,,,
,,Chanac-les-Mines,,,,
,,Chanaleilles,,,,
,,Chanas,,,,
,,Chanat-la-Mouteyre,,,,
,,Chanay,,,,
,,Chanaz,,,,
,,Chanceaux,,,,
,,Chanceaux-près-Loches,,,,
,,Chanceaux-sur-Choisille,,,,
,,Chancelade,,,,
,,Chancenay,,,,
,,Chancey,,,,
,,Chancia,,,,
,,Chancé,,,,
,,Chandai,,,,
,,Chandolas,,,,
,,Chandon,,,,
,,Chaneins,,,,
,,Change,,,,
,,Changey,,,,
,,Changis-sur-Marne,,,,
,,Changy,,,,
,,Changé,,,,
,,Chaniat,,,,
,,Chaniers,,,,
,,Channay,,,,
,,Channay-sur-Lathan,,,,
,,Channes,,,,
,,Chanonat,,,,
,,Chanos-Curson,,,,
,,Chanousse,,,,
,,Chanoy,,,,
,,Chanoz-Châtenay,,,,
,,Chanteau,,,,
,,Chantecoq,,,,
,,Chantecorps,,,,
,,Chanteheux,,,,
,,Chanteix,,,,
,,Chantelle,,,,
,,Chanteloup,,,,
,,Chanteloup-en-Brie,,,,
,,Chanteloup-les-Bois,,,,
,,Chanteloup-les-Vignes,,,,
,,Chantelouve,,,,
,,Chantemerle,,,,
,,Chantemerle-les-Blés,,,,
,,Chantemerle-lès-Grignan,,,,
,,Chantemerle-sur-la-Soie,,,,
,,Chantenay-Saint-Imbert,,,,
,,Chantenay-Villedieu,,,,
,,Chantepie,,,,
,,Chanteraine,,,,
,,Chanterelle,,,,
,,Chantes,,,,
,,Chantesse,,,,
,,Chanteuges,,,,
,,Chantillac,,,,
,,Chantilly,,,,
,,Chantonnay,,,,
,,Chantraine,,,,
,,Chantraines,,,,
,,Chantrans,,,,
,,Chantrigné,,,,
,,Chantérac,,,,
,,Chanu,,,,
,,Chanville,,,,
,,Chançay,,,,
,,Chanéac,,,,
,,Chaon,,,,
,,Chaouilley,,,,
,,Chaource,,,,
,,Chaourse,,,,
,,Chapaize,,,,
,,Chapareillan,,,,
,,Chapdes-Beaufort,,,,
,,Chapdeuil,,,,
,,Chapeau,,,,
,,Chapeiry,,,,
,,Chapelaine,,,,
,,Chapelaude,,,,
,,Chapelle,,,,
,,Chapelle du Lou du Lac,,,,
,,Chapelle-Agnon,,,,
,,Chapelle-Anthenaise,,,,
,,Chapelle-Aubareil,,,,
,,Chapelle-Baloue,,,,
,,Chapelle-Bayvel,,,,
,,Chapelle-Bertin,,,,
,,Chapelle-Bertrand,,,,
,,Chapelle-Biche,,,,
,,Chapelle-Blanche,,,,
,,Chapelle-Blanche-Saint-Martin,,,,
,,Chapelle-Bouëxic,,,,
,,Chapelle-Bâton,,,,
,,Chapelle-Chaussée,,,,
,,Chapelle-Craonnaise,,,,
,,Chapelle-Cécelin,,,,
,,Chapelle-Enchérie,,,,
,,Chapelle-Erbrée,,,,
,,Chapelle-Faucher,,,,
,,Chapelle-Felcourt,,,,
,,Chapelle-Forainvilliers,,,,
,,Chapelle-Fortin,,,,
,,Chapelle-Gauthier,,,,
,,Chapelle-Geneste,,,,
,,Chapelle-Glain,,,,
,,Chapelle-Gonaguet,,,,
,,Chapelle-Grésignac,,,,
,,Chapelle-Guillaume,,,,
,,Chapelle-Hareng,,,,
,,Chapelle-Hermier,,,,
,,Chapelle-Heulin,,,,
,,Chapelle-Hugon,,,,
,,Chapelle-Huon,,,,
,,Chapelle-Iger,,,,
,,Chapelle-Janson,,,,
,,Chapelle-Lasson,,,,
,,Chapelle-Launay,,,,
,,Chapelle-Laurent,,,,
,,Chapelle-Longueville,,,,
,,Chapelle-Marcousse,,,,
,,Chapelle-Montabourlet,,,,
,,Chapelle-Montbrandeix,,,,
,,Chapelle-Montligeon,,,,
,,Chapelle-Montlinard,,,,
,,Chapelle-Montmartin,,,,
,,Chapelle-Montmoreau,,,,
,,Chapelle-Montreuil,,,,
,,Chapelle-Moulière,,,,
,,Chapelle-Moutils,,,,
,,Chapelle-Naude,,,,
,,Chapelle-Neuve,,,,
,,Chapelle-Onzerain,,,,
,,Chapelle-Orthemale,,,,
,,Chapelle-Palluau,,,,
,,Chapelle-Pouilloux,,,,
,,Chapelle-Rablais,,,,
,,Chapelle-Rainsouin,,,,
,,Chapelle-Rambaud,,,,
,,Chapelle-Royale,,,,
,,Chapelle-Saint-André,,,,
,,Chapelle-Saint-Aubert,,,,
,,Chapelle-Saint-Aubin,,,,
,,Chapelle-Saint-Fray,,,,
,,Chapelle-Saint-Géraud,,,,
,,Chapelle-Saint-Jean,,,,
,,Chapelle-Saint-Laud,,,,
,,Chapelle-Saint-Laurent,,,,
,,Chapelle-Saint-Laurian,,,,
,,Chapelle-Saint-Luc,,,,
,,Chapelle-Saint-Martial,,,,
,,Chapelle-Saint-Martin,,,,
,,Chapelle-Saint-Martin-en-Plaine,,,,
,,Chapelle-Saint-Maurice,,,,
,,Chapelle-Saint-Mesmin,,,,
,,Chapelle-Saint-Ouen,,,,
,,Chapelle-Saint-Quillain,,,,
,,Chapelle-Saint-Rémy,,,,
,,Chapelle-Saint-Sauveur,,,,
,,Chapelle-Saint-Sulpice,,,,
,,Chapelle-Saint-Sépulcre,,,,
,,Chapelle-Saint-Ursin,,,,
,,Chapelle-Saint-Étienne,,,,
,,Chapelle-Souëf,,,,
,,Chapelle-Spinasse,,,,
,,Chapelle-Taillefert,,,,
,,Chapelle-Thireuil,,,,
,,Chapelle-Thouarault,,,,
,,Chapelle-Thècle,,,,
,,Chapelle-Thémer,,,,
,,Chapelle-Urée,,,,
,,Chapelle-Vallon,,,,
,,Chapelle-Vaupelteigne,,,,
,,Chapelle-Vendômoise,,,,
,,Chapelle-Vicomtesse,,,,
,,Chapelle-Viel,,,,
,,Chapelle-Villars,,,,
,,Chapelle-Viviers,,,,
,,Chapelle-Voland,,,,
,,Chapelle-au-Mans,,,,
,,Chapelle-au-Moine,,,,
,,Chapelle-au-Riboul,,,,
,,Chapelle-aux-Bois,,,,
,,Chapelle-aux-Brocs,,,,
,,Chapelle-aux-Chasses,,,,
,,Chapelle-aux-Choux,,,,
,,Chapelle-aux-Filtzméens,,,,
,,Chapelle-aux-Lys,,,,
,,Chapelle-aux-Naux,,,,
,,Chapelle-aux-Saints,,,,
,,Chapelle-d'Abondance,,,,
,,Chapelle-d'Alagnon,,,,
,,Chapelle-d'Aligné,,,,
,,Chapelle-d'Angillon,,,,
,,Chapelle-d'Armentières,,,,
,,Chapelle-d'Aunainville,,,,
,,Chapelle-d'Aurec,,,,
,,Chapelle-d'Huin,,,,
,,Chapelle-de-Bragny,,,,
,,Chapelle-de-Brain,,,,
,,Chapelle-de-Guinchay,,,,
,,Chapelle-de-Surieu,,,,
,,Chapelle-de-la-Tour,,,,
,,Chapelle-des-Bois,,,,
,,Chapelle-des-Fougeretz,,,,
,,Chapelle-des-Marais,,,,
,,Chapelle-des-Pots,,,,
,,Chapelle-devant-Bruyères,,,,
,,Chapelle-du-Bard,,,,
,,Chapelle-du-Bois,,,,
,,Chapelle-du-Bois-des-Faulx,,,,
,,Chapelle-du-Bourgay,,,,
,,Chapelle-du-Châtelard,,,,
,,Chapelle-du-Mont-de-France,,,,
,,Chapelle-du-Mont-du-Chat,,,,
,,Chapelle-du-Noyer,,,,
,,Chapelle-en-Lafaye,,,,
,,Chapelle-en-Serval,,,,
,,Chapelle-en-Valgaudémar,,,,
,,Chapelle-en-Vercors,,,,
,,Chapelle-en-Vexin,,,,
,,Chapelle-la-Reine,,,,
,,Chapelle-lès-Luxeuil,,,,
,,Chapelle-près-Sées,,,,
,,Chapelle-sous-Brancion,,,,
,,Chapelle-sous-Dun,,,,
,,Chapelle-sous-Orbais,,,,
,,Chapelle-sous-Uchon,,,,
,,Chapelle-sur-Aveyron,,,,
,,Chapelle-sur-Chézy,,,,
,,Chapelle-sur-Coise,,,,
,,Chapelle-sur-Dun,,,,
,,Chapelle-sur-Erdre,,,,
,,Chapelle-sur-Furieuse,,,,
,,Chapelle-sur-Loire,,,,
,,Chapelle-sur-Oreuse,,,,
,,Chapelle-sur-Usson,,,,
,,Chapelles,,,,
,,Chapelles-Bourbon,,,,
,,Chapelon,,,,
,,Chapelotte,,,,
,,Chapet,,,,
,,Chapois,,,,
,,Chaponnay,,,,
,,Chaponost,,,,
,,Chappes,,,,
,,Chaptelat,,,,
,,Chaptuzat,,,,
,,Charancieu,,,,
,,Charantonnay,,,,
,,Charavines,,,,
,,Charbogne,,,,
,,Charbonnat,,,,
,,Charbonnier-les-Mines,,,,
,,Charbonnières,,,,
,,Charbonnières-les-Bains,,,,
,,Charbonnières-les-Varennes,,,,
,,Charbonnières-les-Vieilles,,,,
,,Charbuy,,,,
,,Charce,,,,
,,Charcenne,,,,
,,Charchigné,,,,
,,Charchilla,,,,
,,Charcier,,,,
,,Chard,,,,
,,Chardeny,,,,
,,Chardogne,,,,
,,Chardonnay,,,,
,,Chareil-Cintrat,,,,
,,Charencey,,,,
,,Charency,,,,
,,Charency-Vezin,,,,
,,Charens,,,,
,,Charensat,,,,
,,Charentay,,,,
,,Charentenay,,,,
,,Charentilly,,,,
,,Charenton-du-Cher,,,,
,,Charenton-le-Pont,,,,
,,Charentonnay,,,,
,,Charette,,,,
,,Charette-Varennes,,,,
,,Charey,,,,
,,Chargey-lès-Gray,,,,
,,Chargey-lès-Port,,,,
,,Chargé,,,,
,,Chariez,,,,
,,Charigny,,,,
,,Charité-sur-Loire,,,,
,,Charix,,,,
,,Charlas,,,,
,,Charleval,,,,
,,Charleville,,,,
,,Charleville-Mézières,,,,
,,Charleville-sous-Bois,,,,
,,Charlieu,,,,
,,Charly,,,,
,,Charly-Oradour,,,,
,,Charly-sur-Marne,,,,
,,Charmauvillers,,,,
,,Charme,,,,
,,Charmeil,,,,
,,Charmel,,,,
,,Charmensac,,,,
,,Charmentray,,,,
,,Charmes,,,,
,,Charmes-Saint-Valbert,,,,
,,Charmes-en-l'Angle,,,,
,,Charmes-la-Côte,,,,
,,Charmes-la-Grande,,,,
,,Charmes-sur-Rhône,,,,
,,Charmes-sur-l'Herbasse,,,,
,,Charmoille,,,,
,,Charmois,,,,
,,Charmois-devant-Bruyères,,,,
,,Charmois-l'Orgueilleux,,,,
,,Charmont,,,,
,,Charmont-en-Beauce,,,,
,,Charmont-sous-Barbuise,,,,
,,Charmontois,,,,
,,Charmoy,,,,
,,Charmé,,,,
,,Charmée,,,,
,,Charnas,,,,
,,Charnat,,,,
,,Charnay,,,,
,,Charnay-lès-Chalon,,,,
,,Charnay-lès-Mâcon,,,,
,,Charnizay,,,,
,,Charnod,,,,
,,Charnois,,,,
,,Charnoz-sur-Ain,,,,
,,Charny,,,,
,,Charny Orée de Puisaye,,,,
,,Charny-le-Bachot,,,,
,,Charny-sur-Meuse,,,,
,,Charnècles,,,,
,,Charolles,,,,
,,Charols,,,,
,,Charonville,,,,
,,Charpentry,,,,
,,Charpey,,,,
,,Charpont,,,,
,,Charquemont,,,,
,,Charraix,,,,
,,Charras,,,,
,,Charre,,,,
,,Charrecey,,,,
,,Charrey-sur-Saône,,,,
,,Charrey-sur-Seine,,,,
,,Charrin,,,,
,,Charritte-de-Bas,,,,
,,Charron,,,,
,,Charroux,,,,
,,Chars,,,,
,,Charsonville,,,,
,,Chartainvilliers,,,,
,,Chartre-sur-le-Loir,,,,
,,Chartres,,,,
,,Chartres-de-Bretagne,,,,
,,Chartrettes,,,,
,,Chartrier-Ferrière,,,,
,,Chartronges,,,,
,,Chartuzac,,,,
,,Chartèves,,,,
,,Charvieu-Chavagneux,,,,
,,Charvonnex,,,,
,,Charézier,,,,
,,Chas,,,,
,,Chaserey,,,,
,,Chasnais,,,,
,,Chasnay,,,,
,,Chasné-sur-Illet,,,,
,,Chaspinhac,,,,
,,Chaspuzac,,,,
,,Chassagne,,,,
,,Chassagne-Montrachet,,,,
,,Chassagne-Saint-Denis,,,,
,,Chassagnes,,,,
,,Chassaignes,,,,
,,Chassal,,,,
,,Chassant,,,,
,,Chasse-sur-Rhône,,,,
,,Chasselas,,,,
,,Chasselay,,,,
,,Chassemy,,,,
,,Chassenard,,,,
,,Chasseneuil,,,,
,,Chasseneuil-du-Poitou,,,,
,,Chasseneuil-sur-Bonnieure,,,,
,,Chassenon,,,,
,,Chassey,,,,
,,Chassey-Beaupré,,,,
,,Chassey-le-Camp,,,,
,,Chassey-lès-Montbozon,,,,
,,Chassey-lès-Scey,,,,
,,Chassiecq,,,,
,,Chassiers,,,,
,,Chassieu,,,,
,,Chassignelles,,,,
,,Chassignieu,,,,
,,Chassignolles,,,,
,,Chassigny,,,,
,,Chassigny-sous-Dun,,,,
,,Chassillé,,,,
,,Chassors,,,,
,,Chassy,,,,
,,Chastang,,,,
,,Chastanier,,,,
,,Chasteaux,,,,
,,Chastel,,,,
,,Chastel-Arnaud,,,,
,,Chastel-Nouvel,,,,
,,Chastellux-sur-Cure,,,,
,,Chastreix,,,,
,,Chatain,,,,
,,Chatel-Chéhéry,,,,
,,Chatelay,,,,
,,Chateley,,,,
,,Chatenay-Mâcheron,,,,
,,Chatenay-Vaudin,,,,
,,Chatenet,,,,
,,Chatignonville,,,,
,,Chatonrupt-Sommermont,,,,
,,Chatou,,,,
,,Chattancourt,,,,
,,Chatte,,,,
,,Chatuzange-le-Goubet,,,,
,,Chaucenne,,,,
,,Chauchailles,,,,
,,Chauchet,,,,
,,Chauchigny,,,,
,,Chauché,,,,
,,Chauconin-Neufmontiers,,,,
,,Chaudardes,,,,
,,Chaudebonne,,,,
,,Chaudefonds-sur-Layon,,,,
,,Chaudefontaine,,,,
,,Chaudenay,,,,
,,Chaudenay-la-Ville,,,,
,,Chaudenay-le-Château,,,,
,,Chaudeney-sur-Moselle,,,,
,,Chaudes-Aigues,,,,
,,Chaudeyrac,,,,
,,Chaudeyrolles,,,,
,,Chaudière,,,,
,,Chaudon,,,,
,,Chaudon-Norante,,,,
,,Chaudrey,,,,
,,Chaudun,,,,
,,Chauffailles,,,,
,,Chauffecourt,,,,
,,Chauffour-lès-Bailly,,,,
,,Chauffour-lès-Étréchy,,,,
,,Chauffour-sur-Vell,,,,
,,Chauffours,,,,
,,Chauffourt,,,,
,,Chauffry,,,,
,,Chaufour-Notre-Dame,,,,
,,Chaufour-lès-Bonnières,,,,
,,Chaugey,,,,
,,Chaulgnes,,,,
,,Chaulhac,,,,
,,Chaulieu,,,,
,,Chaulme,,,,
,,Chaulnes,,,,
,,Chaum,,,,
,,Chaumard,,,,
,,Chaume,,,,
,,Chaume-et-Courchamp,,,,
,,Chaume-lès-Baigneux,,,,
,,Chaumeil,,,,
,,Chaumercenne,,,,
,,Chaumergy,,,,
,,Chaumes-en-Brie,,,,
,,Chaumes-en-Retz,,,,
,,Chaumesnil,,,,
,,Chaumont,,,,
,,Chaumont-Porcien,,,,
,,Chaumont-devant-Damvillers,,,,
,,Chaumont-en-Vexin,,,,
,,Chaumont-la-Ville,,,,
,,Chaumont-le-Bois,,,,
,,Chaumont-le-Bourg,,,,
,,Chaumont-sur-Aire,,,,
,,Chaumont-sur-Loire,,,,
,,Chaumont-sur-Tharonne,,,,
,,Chaumontel,,,,
,,Chaumot,,,,
,,Chaumousey,,,,
,,Chaumoux-Marcilly,,,,
,,Chaumussay,,,,
,,Chaumusse,,,,
,,Chaumuzy,,,,
,,Chaunac,,,,
,,Chaunay,,,,
,,Chauny,,,,
,,Chauray,,,,
,,Chauriat,,,,
,,Chaussade,,,,
,,Chaussan,,,,
,,Chaussenac,,,,
,,Chaussenans,,,,
,,Chausseterre,,,,
,,Chaussin,,,,
,,Chaussoy-Epagny,,,,
,,Chaussy,,,,
,,Chaussée,,,,
,,Chaussée-Saint-Victor,,,,
,,Chaussée-Tirancourt,,,,
,,Chaussée-d'Ivry,,,,
,,Chaussée-sur-Marne,,,,
,,Chautay,,,,
,,Chauvac-Laux-Montaux,,,,
,,Chauvency-Saint-Hubert,,,,
,,Chauvency-le-Château,,,,
,,Chauvigny,,,,
,,Chauvigny-du-Perche,,,,
,,Chauvigné,,,,
,,Chauvincourt-Provemont,,,,
,,Chauvirey-le-Châtel,,,,
,,Chauvirey-le-Vieil,,,,
,,Chauvoncourt,,,,
,,Chauvry,,,,
,,Chauvé,,,,
,,Chaux,,,,
,,Chaux-Champagny,,,,
,,Chaux-Neuve,,,,
,,Chaux-des-Crotenay,,,,
,,Chaux-du-Dombief,,,,
,,Chaux-en-Bresse,,,,
,,Chaux-la-Lotière,,,,
,,Chaux-lès-Clerval,,,,
,,Chaux-lès-Passavant,,,,
,,Chaux-lès-Port,,,,
,,Chauzon,,,,
,,Chavagne,,,,
,,Chavagnes-en-Paillers,,,,
,,Chavagnes-les-Redoux,,,,
,,Chavanac,,,,
,,Chavanat,,,,
,,Chavanatte,,,,
,,Chavanay,,,,
,,Chavanges,,,,
,,Chavaniac-Lafayette,,,,
,,Chavannaz,,,,
,,Chavanne,,,,
,,Chavannes,,,,
,,Chavannes-en-Maurienne,,,,
,,Chavannes-les-Grands,,,,
,,Chavannes-sur-Reyssouze,,,,
,,Chavannes-sur-l'Étang,,,,
,,Chavanod,,,,
,,Chavanoz,,,,
,,Chavaroux,,,,
,,Chavatte,,,,
,,Chaveignes,,,,
,,Chavelot,,,,
,,Chavenay,,,,
,,Chavenon,,,,
,,Chavençon,,,,
,,Chaveroche,,,,
,,Chaveyriat,,,,
,,Chavignon,,,,
,,Chavigny,,,,
,,Chavigny-Bailleul,,,,
,,Chaville,,,,
,,Chavin,,,,
,,Chavonne,,,,
,,Chavornay,,,,
,,Chavot-Courcourt,,,,
,,Chavoy,,,,
,,Chavroches,,,,
,,Chavéria,,,,
,,Chay,,,,
,,Chazay-d'Azergues,,,,
,,Chazeaux,,,,
,,Chazelet,,,,
,,Chazelles,,,,
,,Chazelles-sur-Albe,,,,
,,Chazelles-sur-Lavieu,,,,
,,Chazelles-sur-Lyon,,,,
,,Chazemais,,,,
,,Chazeuil,,,,
,,Chazey-Bons,,,,
,,Chazey-sur-Ain,,,,
,,Chazilly,,,,
,,Chazot,,,,
,,Chazé-sur-Argos,,,,
,,Chaînée-des-Coupis,,,,
,,Chef-Boutonne,,,,
,,Chef-Haut,,,,
,,Cheffes,,,,
,,Cheffois,,,,
,,Cheignieu-la-Balme,,,,
,,Cheilly-lès-Maranges,,,,
,,Cheillé,,,,
,,Chein-Dessus,,,,
,,Cheissoux,,,,
,,Cheix,,,,
,,Cheix-en-Retz,,,,
,,Chelers,,,,
,,Chelle-Debat,,,,
,,Chelle-Spou,,,,
,,Chelles,,,,
,,Chelun,,,,
,,Chemaudin et Vaux,,,,
,,Chemazé,,,,
,,Chemenot,,,,
,,Chemilla,,,,
,,Chemilli,,,,
,,Chemilly,,,,
,,Chemilly-sur-Serein,,,,
,,Chemilly-sur-Yonne,,,,
,,Chemillé-en-Anjou,,,,
,,Chemillé-sur-Dême,,,,
,,Chemillé-sur-Indrois,,,,
,,Chemin,,,,
,,Chemin-d'Aisey,,,,
,,Cheminas,,,,
,,Cheminon,,,,
,,Cheminot,,,,
,,Chemiré-en-Charnie,,,,
,,Chemiré-le-Gaudin,,,,
,,Chemy,,,,
,,Chenac-Saint-Seurin-d'Uzet,,,,
,,Chenailler-Mascheix,,,,
